record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.604010,0.047723,0.296388,0.051879
101,1,-1,0,0.938835,0.017148,0.026783,0.017234
105,2,-1,0,0.817553,0.033998,0.128917,0.019531
105,3,-1,0,0.950272,0.015510,0.021345,0.012873
105,4,-1,2,0.021540,0.028448,0.926949,0.023064
105,5,-1,0,0.949392,0.013868,0.021384,0.015356
105,6,-1,2,0.281954,0.087124,0.584597,0.046325
203,7,-1,0,0.962396,0.012721,0.014356,0.010528
203,8,-1,0,0.883264,0.043610,0.043974,0.029152
203,9,-1,0,0.886407,0.033076,0.054334,0.026184
203,10,-1,0,0.920251,0.018632,0.042177,0.018940
208,11,-1,2,0.228271,0.052440,0.660510,0.058779
208,12,-1,0,0.943025,0.019792,0.020351,0.016832
214,13,-1,0,0.958585,0.012355,0.016922,0.012137
214,14,-1,2,0.047547,0.024106,0.890631,0.037715
