record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.953855,0.015005,0.016941,0.014198
101,1,-1,0,0.956042,0.018857,0.011540,0.013561
105,2,-1,0,0.884079,0.027900,0.067314,0.020707
105,3,-1,0,0.729002,0.054832,0.179530,0.036637
105,4,-1,2,0.020471,0.015197,0.950528,0.013804
105,5,-1,0,0.911920,0.023317,0.045739,0.019023
105,6,-1,0,0.897046,0.027476,0.055771,0.019707
203,7,-1,0,0.899747,0.026543,0.051881,0.021830
203,8,-1,0,0.932388,0.025366,0.023430,0.018816
203,9,-1,0,0.911823,0.028333,0.037333,0.022510
203,10,-1,0,0.911005,0.025690,0.039991,0.023314
208,11,-1,2,0.005841,0.008950,0.974133,0.011076
208,12,-1,0,0.943866,0.027401,0.015217,0.013516
214,13,-1,0,0.961800,0.014112,0.011634,0.012454
214,14,-1,2,0.022518,0.020879,0.941293,0.015311
