record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.804893,0.034367,0.135828,0.024912
101,1,-1,2,0.297437,0.034807,0.628525,0.039231
105,2,-1,2,0.027464,0.028735,0.785050,0.158751
105,3,-1,2,0.129071,0.054244,0.757367,0.059318
105,4,-1,0,0.485834,0.068945,0.394419,0.050802
105,5,-1,0,0.784301,0.020138,0.166352,0.029209
105,6,-1,2,0.066871,0.028863,0.856122,0.048144
203,7,-1,0,0.854888,0.020603,0.100873,0.023636
203,8,-1,0,0.823605,0.043534,0.095669,0.037192
203,9,-1,0,0.741495,0.048714,0.145054,0.064737
203,10,-1,0,0.614992,0.063307,0.219220,0.102481
208,11,-1,0,0.674253,0.023128,0.250507,0.052112
208,12,-1,0,0.931501,0.026851,0.021396,0.020252
214,13,-1,0,0.825365,0.060793,0.059247,0.054594
214,14,-1,2,0.098032,0.028080,0.832124,0.041765
