record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.015712,0.034502,0.949786,0.000000
101,1,-1,2,0.018977,0.024456,0.956567,0.000000
105,2,-1,0,0.602893,0.180252,0.216190,0.000664
105,3,-1,2,0.048953,0.041442,0.909569,0.000036
105,4,-1,2,0.147560,0.127371,0.724991,0.000078
105,5,-1,0,0.857102,0.040911,0.101986,0.000002
105,6,-1,0,0.819282,0.075333,0.105294,0.000091
203,7,-1,0,0.936067,0.029614,0.034319,0.000000
203,8,-1,0,0.926121,0.035054,0.038825,0.000000
203,9,-1,0,0.928678,0.031441,0.039881,0.000000
203,10,-1,0,0.907954,0.037794,0.054251,0.000001
208,11,-1,0,0.868312,0.062672,0.069002,0.000014
208,12,-1,0,0.930499,0.030095,0.039406,0.000000
214,13,-1,0,0.935154,0.025995,0.038851,0.000000
214,14,-1,0,0.592739,0.057026,0.350235,0.000001
