record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.535168,0.025362,0.367318,0.072151
101,1,-1,2,0.230389,0.019400,0.693229,0.056982
105,2,-1,0,0.796901,0.033713,0.150054,0.019332
105,3,-1,2,0.015312,0.146533,0.796675,0.041480
105,4,-1,2,0.027799,0.015996,0.936694,0.019511
105,5,-1,0,0.485904,0.048695,0.426188,0.039213
105,6,-1,2,0.047011,0.039954,0.882324,0.030711
203,7,-1,0,0.900346,0.025983,0.046340,0.027330
203,8,-1,0,0.888017,0.027719,0.063691,0.020573
203,9,-1,0,0.834170,0.025220,0.098665,0.041945
203,10,-1,0,0.660769,0.034882,0.206317,0.098032
208,11,-1,0,0.572528,0.052886,0.333172,0.041414
208,12,-1,0,0.936524,0.021873,0.024432,0.017171
214,13,-1,0,0.867169,0.051910,0.054794,0.026126
214,14,-1,2,0.020868,0.020613,0.936401,0.022119
