record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.286125,0.026074,0.604482,0.083319
101,1,-1,0,0.796249,0.026006,0.129814,0.047930
105,2,-1,0,0.891861,0.032046,0.052115,0.023978
105,3,-1,2,0.016738,0.017151,0.947623,0.018488
105,4,-1,2,0.080835,0.093458,0.788554,0.037153
105,5,-1,0,0.930686,0.022080,0.030368,0.016866
105,6,-1,0,0.882046,0.043304,0.044571,0.030079
203,7,-1,0,0.893523,0.026974,0.045897,0.033606
203,8,-1,0,0.772946,0.029638,0.161292,0.036123
203,9,-1,0,0.661684,0.030113,0.264956,0.043246
203,10,-1,0,0.638452,0.033798,0.283699,0.044051
208,11,-1,0,0.662216,0.123939,0.146068,0.067776
208,12,-1,0,0.914072,0.025989,0.034440,0.025499
214,13,-1,0,0.937395,0.020293,0.024100,0.018212
214,14,-1,2,0.169376,0.031983,0.741216,0.057424
