record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.344342,0.052370,0.540473,0.062814
101,1,-1,0,0.858982,0.027204,0.072596,0.041219
105,2,-1,0,0.615577,0.042594,0.301983,0.039846
105,3,-1,0,0.944223,0.019254,0.018812,0.017710
105,4,-1,2,0.024969,0.021478,0.927397,0.026155
105,5,-1,0,0.956108,0.014461,0.014847,0.014584
105,6,-1,0,0.911927,0.030723,0.033478,0.023872
203,7,-1,0,0.945758,0.018346,0.018693,0.017202
203,8,-1,0,0.913349,0.026556,0.038313,0.021782
203,9,-1,2,0.365725,0.068154,0.527250,0.038871
203,10,-1,2,0.416329,0.055173,0.477895,0.050603
208,11,-1,2,0.015411,0.015802,0.949222,0.019565
208,12,-1,0,0.900035,0.031381,0.037305,0.031279
214,13,-1,0,0.958406,0.015552,0.012848,0.013194
214,14,-1,2,0.331827,0.048552,0.584505,0.035116
