record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.865144,0.040751,0.069297,0.024807
101,1,-1,0,0.871534,0.025435,0.080732,0.022300
105,2,-1,0,0.703658,0.028532,0.247417,0.020392
105,3,-1,2,0.022428,0.014070,0.947596,0.015906
105,4,-1,0,0.499995,0.064834,0.401416,0.033754
105,5,-1,0,0.784127,0.021249,0.172024,0.022600
105,6,-1,0,0.616727,0.128865,0.202198,0.052210
203,7,-1,0,0.824802,0.026901,0.100541,0.047756
203,8,-1,0,0.596635,0.073255,0.082146,0.247964
203,9,-1,3,0.124589,0.084202,0.279292,0.511917
203,10,-1,3,0.085330,0.078384,0.285301,0.550985
208,11,-1,0,0.538170,0.025138,0.299273,0.137418
208,12,-1,0,0.945476,0.013611,0.019474,0.021439
214,13,-1,2,0.145441,0.114200,0.659908,0.080450
214,14,-1,2,0.056920,0.034269,0.872365,0.036446
