record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.616452,0.043961,0.295594,0.043993
101,1,-1,0,0.921278,0.019421,0.040057,0.019245
105,2,-1,0,0.931927,0.018888,0.033990,0.015195
105,3,-1,0,0.935951,0.020068,0.027041,0.016940
105,4,-1,2,0.023268,0.023792,0.931023,0.021917
105,5,-1,0,0.911484,0.021616,0.047115,0.019785
105,6,-1,0,0.917241,0.028767,0.035791,0.018201
203,7,-1,0,0.954753,0.014757,0.016568,0.013922
203,8,-1,0,0.943392,0.020392,0.020799,0.015417
203,9,-1,0,0.926991,0.024844,0.029295,0.018870
203,10,-1,0,0.930372,0.024082,0.026936,0.018610
208,11,-1,0,0.928819,0.020394,0.031741,0.019046
208,12,-1,0,0.956349,0.013468,0.016591,0.013591
214,13,-1,0,0.963013,0.013085,0.011917,0.011985
214,14,-1,2,0.073384,0.031022,0.851135,0.044459
