record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.748520,0.041341,0.210138,0.000002
101,1,-1,0,0.528450,0.035651,0.435890,0.000010
105,2,-1,0,0.863041,0.036764,0.100194,0.000001
105,3,-1,2,0.037735,0.029090,0.932990,0.000185
105,4,-1,2,0.135461,0.110135,0.754092,0.000312
105,5,-1,0,0.787366,0.029844,0.182765,0.000024
105,6,-1,0,0.883508,0.056952,0.059516,0.000023
203,7,-1,0,0.926542,0.039836,0.033616,0.000006
203,8,-1,0,0.928083,0.024753,0.047161,0.000003
203,9,-1,0,0.873362,0.027071,0.099551,0.000016
203,10,-1,0,0.781761,0.032259,0.185916,0.000064
208,11,-1,2,0.319457,0.087567,0.592507,0.000469
208,12,-1,0,0.876819,0.095277,0.027886,0.000019
214,13,-1,0,0.947211,0.026861,0.025924,0.000004
214,14,-1,0,0.506187,0.114488,0.378620,0.000705
