record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.926035,0.022822,0.033770,0.017373
101,1,-1,0,0.945795,0.016238,0.024092,0.013875
105,2,-1,0,0.946685,0.014789,0.030001,0.008525
105,3,-1,0,0.832729,0.034469,0.111680,0.021122
105,4,-1,2,0.080509,0.046962,0.842676,0.029854
105,5,-1,0,0.960323,0.016561,0.014266,0.008851
105,6,-1,0,0.884090,0.053478,0.044694,0.017738
203,7,-1,0,0.863257,0.043395,0.077421,0.015927
203,8,-1,0,0.890248,0.045594,0.044379,0.019779
203,9,-1,0,0.769119,0.046996,0.155688,0.028197
203,10,-1,0,0.890765,0.022226,0.064680,0.022329
208,11,-1,2,0.010175,0.019062,0.955618,0.015145
208,12,-1,0,0.960280,0.013488,0.015002,0.011231
214,13,-1,0,0.955310,0.016651,0.013866,0.014173
214,14,-1,2,0.366991,0.074269,0.491555,0.067185
