record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.388879,0.097283,0.454063,0.059775
101,1,-1,0,0.656350,0.066009,0.220590,0.057051
105,2,-1,2,0.088412,0.021624,0.841687,0.048276
105,3,-1,2,0.006585,0.009979,0.973076,0.010360
105,4,-1,2,0.047628,0.079915,0.804384,0.068073
105,5,-1,0,0.799304,0.013526,0.143952,0.043219
105,6,-1,0,0.503052,0.035299,0.381202,0.080447
203,7,-1,0,0.658541,0.061544,0.197565,0.082349
203,8,-1,0,0.791793,0.038976,0.133158,0.036073
203,9,-1,0,0.707842,0.043609,0.218113,0.030436
203,10,-1,0,0.760288,0.045108,0.165497,0.029107
208,11,-1,2,0.166420,0.084433,0.630399,0.118749
208,12,-1,0,0.842547,0.046247,0.076484,0.034723
214,13,-1,0,0.787962,0.030939,0.097991,0.083109
214,14,-1,2,0.053607,0.010347,0.912249,0.023797
