record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.151311,0.102196,0.689917,0.056576
101,1,-1,2,0.126404,0.028279,0.801760,0.043557
105,2,-1,2,0.041983,0.042726,0.901985,0.013307
105,3,-1,2,0.025555,0.025098,0.937343,0.012005
105,4,-1,2,0.166347,0.246893,0.541935,0.044825
105,5,-1,2,0.337434,0.280329,0.359054,0.023184
105,6,-1,2,0.137648,0.138344,0.698833,0.025174
203,7,-1,2,0.059279,0.079052,0.827816,0.033852
203,8,-1,0,0.631439,0.055223,0.293209,0.020128
203,9,-1,2,0.410616,0.052002,0.470455,0.066927
203,10,-1,0,0.426443,0.058118,0.416181,0.099258
208,11,-1,2,0.052534,0.187414,0.742797,0.017254
208,12,-1,0,0.930533,0.043875,0.010562,0.015030
214,13,-1,0,0.835194,0.026925,0.024251,0.113630
214,14,-1,2,0.026400,0.034387,0.870909,0.068304
