record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.624173,0.066827,0.202299,0.106701
101,1,-1,0,0.738324,0.040693,0.151221,0.069762
105,2,-1,0,0.596372,0.058681,0.301418,0.043529
105,3,-1,2,0.011501,0.051411,0.901119,0.035969
105,4,-1,2,0.052888,0.023078,0.900971,0.023064
105,5,-1,0,0.806581,0.036081,0.127184,0.030154
105,6,-1,2,0.058698,0.025907,0.882712,0.032683
203,7,-1,0,0.702898,0.053113,0.172948,0.071042
203,8,-1,0,0.793750,0.024598,0.146698,0.034954
203,9,-1,2,0.200293,0.027084,0.718637,0.053986
203,10,-1,2,0.239571,0.030117,0.594818,0.135494
208,11,-1,2,0.212399,0.041987,0.709276,0.036338
208,12,-1,0,0.940972,0.021490,0.020906,0.016631
214,13,-1,0,0.799764,0.040256,0.124764,0.035216
214,14,-1,2,0.040430,0.027787,0.895270,0.036512
