record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.772151,0.023498,0.093632,0.110719
101,1,-1,0,0.887268,0.014153,0.048217,0.050361
105,2,-1,0,0.914699,0.018649,0.053641,0.013011
105,3,-1,2,0.025496,0.036529,0.903829,0.034147
105,4,-1,2,0.025441,0.020615,0.930202,0.023742
105,5,-1,0,0.835908,0.036092,0.109558,0.018442
105,6,-1,2,0.329717,0.087777,0.510685,0.071821
203,7,-1,0,0.621268,0.056823,0.238913,0.082997
203,8,-1,0,0.912898,0.028080,0.034825,0.024196
203,9,-1,0,0.785004,0.065449,0.105222,0.044325
203,10,-1,0,0.667080,0.066319,0.181188,0.085413
208,11,-1,2,0.284001,0.052527,0.615321,0.048150
208,12,-1,0,0.929034,0.028844,0.020991,0.021131
214,13,-1,0,0.938813,0.022911,0.021335,0.016942
214,14,-1,2,0.088406,0.029482,0.836606,0.045505
