record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.949501,0.015254,0.018621,0.016624
101,1,-1,0,0.956514,0.013031,0.014692,0.015764
105,2,-1,0,0.895325,0.020123,0.060938,0.023614
105,3,-1,0,0.903996,0.024046,0.057186,0.014772
105,4,-1,0,0.854109,0.087013,0.043382,0.015495
105,5,-1,0,0.958263,0.016539,0.013469,0.011730
105,6,-1,0,0.919187,0.017245,0.045518,0.018049
203,7,-1,0,0.926579,0.020412,0.034426,0.018584
203,8,-1,0,0.564202,0.063510,0.318763,0.053525
203,9,-1,0,0.828798,0.025980,0.117534,0.027688
203,10,-1,0,0.767232,0.025183,0.178227,0.029358
208,11,-1,0,0.506695,0.087726,0.325757,0.079822
208,12,-1,0,0.950833,0.016477,0.017079,0.015610
214,13,-1,0,0.951164,0.018162,0.015744,0.014931
214,14,-1,2,0.060584,0.017747,0.881887,0.039782
