record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,3,0.247849,0.120111,0.305837,0.326204
101,1,-1,0,0.920011,0.024181,0.029165,0.026643
105,2,-1,0,0.968510,0.009679,0.011301,0.010510
105,3,-1,0,0.923213,0.022162,0.033694,0.020931
105,4,-1,0,0.791699,0.047121,0.121076,0.040103
105,5,-1,0,0.966668,0.010629,0.011512,0.011191
105,6,-1,0,0.947766,0.014923,0.020353,0.016958
203,7,-1,0,0.895908,0.025361,0.056592,0.022139
203,8,-1,0,0.904772,0.024356,0.041614,0.029258
203,9,-1,0,0.839037,0.032714,0.076431,0.051818
203,10,-1,0,0.855432,0.030979,0.066373,0.047217
208,11,-1,2,0.046968,0.022963,0.897000,0.033068
208,12,-1,0,0.961206,0.012681,0.014930,0.011183
214,13,-1,0,0.961782,0.012441,0.013305,0.012471
214,14,-1,2,0.030314,0.011573,0.931292,0.026821
