record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.223028,0.028843,0.748110,0.000020
101,1,-1,2,0.359618,0.045244,0.595074,0.000064
105,2,-1,0,0.733778,0.030518,0.235645,0.000059
105,3,-1,2,0.019251,0.013206,0.967523,0.000020
105,4,-1,2,0.055010,0.066562,0.878343,0.000085
105,5,-1,0,0.674637,0.053607,0.271656,0.000100
105,6,-1,0,0.637274,0.039247,0.323352,0.000127
203,7,-1,0,0.915418,0.025614,0.058940,0.000028
203,8,-1,0,0.822748,0.041390,0.135846,0.000017
203,9,-1,0,0.734480,0.054219,0.211274,0.000028
203,10,-1,2,0.470567,0.057748,0.471637,0.000049
208,11,-1,0,0.933905,0.024444,0.041634,0.000018
208,12,-1,0,0.901330,0.054428,0.044216,0.000026
214,13,-1,0,0.961815,0.021064,0.017116,0.000005
214,14,-1,2,0.085761,0.023792,0.890436,0.000010
