record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.304733,0.205133,0.412567,0.077567
101,1,-1,2,0.303086,0.132596,0.506828,0.057490
105,2,-1,2,0.188792,0.015540,0.764834,0.030835
105,3,-1,2,0.376744,0.035404,0.531887,0.055965
105,4,-1,2,0.016008,0.014047,0.952652,0.017293
105,5,-1,0,0.950484,0.015986,0.022171,0.011359
105,6,-1,2,0.155637,0.034797,0.777926,0.031640
203,7,-1,2,0.064641,0.026223,0.874213,0.034924
203,8,-1,0,0.899283,0.030352,0.046407,0.023957
203,9,-1,0,0.623218,0.058839,0.278997,0.038946
203,10,-1,0,0.746737,0.030553,0.186468,0.036242
208,11,-1,2,0.105883,0.050909,0.799918,0.043290
208,12,-1,0,0.962667,0.012593,0.013128,0.011613
214,13,-1,0,0.956329,0.014205,0.015089,0.014377
214,14,-1,2,0.057399,0.027095,0.888535,0.026971
