record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.696903,0.037677,0.219430,0.045991
101,1,-1,0,0.751190,0.032895,0.162415,0.053501
105,2,-1,2,0.167702,0.056211,0.716639,0.059449
105,3,-1,2,0.161305,0.026827,0.740075,0.071792
105,4,-1,2,0.090567,0.057463,0.799449,0.052521
105,5,-1,2,0.280564,0.030951,0.641230,0.047254
105,6,-1,2,0.410878,0.042351,0.492948,0.053822
203,7,-1,0,0.881780,0.024465,0.062077,0.031678
203,8,-1,0,0.898821,0.028295,0.042103,0.030781
203,9,-1,0,0.892246,0.032910,0.042672,0.032172
203,10,-1,0,0.876003,0.042514,0.048219,0.033264
208,11,-1,0,0.658169,0.038266,0.204792,0.098773
208,12,-1,0,0.832494,0.035769,0.109661,0.022075
214,13,-1,0,0.471358,0.061632,0.308579,0.158431
214,14,-1,2,0.064818,0.032746,0.850757,0.051679
